_date,time,preclose,high,low,match,open,volume,turnover,matchitems,,
1991/11/18,1991/11/18,238.25,248.53,238.25,248.53,240.04,1068800,9300000,0,,
1991/11/25,1991/11/25,248.53,259.85,248.53,259.6,250.84,4298200,36500000,0,,
1991/12/2,1991/12/2,259.6,269.35,259.67,269.35,261.78,2442900,22200000,0,,
1991/12/9,1991/12/9,269.35,277,269.35,277,270.27,493600,5500000,0,,
1991/12/16,1991/12/16,277,282.83,277,282.83,277.53,708000,9700000,0,,
1991/12/23,1991/12/23,282.83,290.85,282.83,290.85,285.65,457800,5500000,0,,
1991/12/30,1991/12/30,290.85,296.52,290.85,296.52,291.71,395000,5700000,0,,
1992/1/6,1992/1/6,296.52,301.83,296.52,301.83,297.68,733800,9900000,0,,
1992/1/13,1992/1/13,301.83,307.38,302,307.38,302.83,213800,2800000,0,,
1992/1/20,1992/1/20,307.38,309.05,307.38,309.05,307.38,236900,3000000,0,,
1992/1/27,1992/1/27,309.05,313.24,309.05,313.24,311.6,229500,2900000,0,,
1992/2/3,1992/2/3,313.24,314.72,313.24,314.72,314.18,59200,1000000,0,,
1992/2/10,1992/2/10,314.72,319.68,314.72,319.68,315.55,235300,3500000,0,,
1992/2/17,1992/2/17,319.68,359.93,319.68,359.59,319.77,4494500,82000000,0,,
1992/2/24,1992/2/24,359.59,364.67,357.07,364.66,361.11,6010200,78300000,0,,
1992/3/2,1992/3/2,364.66,371.76,364.66,371.76,365.15,2540100,44000000,0,,
1992/3/9,1992/3/9,371.76,377.57,371.88,376.38,372.26,4269500,76700000,0,,
1992/3/16,1992/3/16,376.38,378.32,376.21,377.99,377,2421000,48600000,0,,
1992/3/23,1992/3/23,377.99,380.79,377.45,380.77,378.61,3812700,82200000,0,,
1992/3/30,1992/3/30,380.77,382.06,380.76,381.33,381.54,3717700,108200000,0,,
1992/4/6,1992/4/6,381.33,382.88,381.2,382.03,381.97,2788200,70400000,0,,
1992/4/13,1992/4/13,382.03,414.42,382.03,414.42,387.27,9321600,205100000,0,,
1992/4/20,1992/4/20,414.42,421.55,394.6,414.4,417.19,19697500,287400000,0,,
1992/4/27,1992/4/27,414.4,448.94,413.47,445.38,422.45,17724600,226600000,0,,
1992/5/4,1992/5/4,445.38,468.42,439.96,468.11,454.86,22919900,370200000,0,,
